"MERGEFACEID","VIDEOID","ACTORID","STARTTIMECODE","ENDTIMECODE","STARTFRAMEINDEX","ENDFRAMEINDEX","CHECKSTATUS","CREATEUSER","MODIFYUSER","DELETEUSER","CREATETIME","MODIFYTIME","DELETETIME","DELFLAG","CREATEREQIP","DELETEREQIP","CHECKOUTSERVERID","CHUBFILENAME","CHUBFILEPATH","KEYFRAMEINDEX"
149944,84826,135576,"00:18:22;06","00:18:55;14",26420,27220,0,1,1,0,20190621151601,20190621151601,0,0,"","",0,"","",26950
149945,84826,135576,"00:20:14;10","00:20:32;08",29110,29540,0,1,1,0,20190621151601,20190621151601,0,0,"","",0,"","",29310
149946,84826,135576,"00:22:00;10","00:22:47;22",31650,32790,0,1,1,0,20190621151601,20190621151601,0,0,"","",0,"","",32680
149947,84826,135576,"00:24:36;00","00:29:25;14",35380,42320,0,1,1,0,20190621151601,20190621151601,0,0,"","",0,"","",35570
149948,84826,135576,"00:32:27;20","00:32:54;02",46690,47320,0,1,1,0,20190621151601,20190621151601,0,0,"","",0,"","",46710
149949,84826,135576,"00:34:56;08","00:35:10;14",50250,50590,0,1,1,0,20190621151601,20190621151601,0,0,"","",0,"","",50510
149950,84826,135576,"00:39:39;06","00:39:54;06",57030,57390,0,1,1,0,20190621151601,20190621151601,0,0,"","",0,"","",57210
149951,84826,135576,"00:41:49;18","00:42:43;04",60160,61440,0,1,1,0,20190621151601,20190621151601,0,0,"","",0,"","",60830
149952,84826,135576,"00:43:25;08","00:44:18;18",62450,63730,0,1,1,0,20190621151601,20190621151601,0,0,"","",0,"","",62970
149953,84826,135576,"00:46:16;20","00:47:17;08",66560,68010,0,1,1,0,20190621151601,20190621151601,0,0,"","",0,"","",66600
149954,84826,135576,"00:47:51;12","00:48:04;12",68830,69140,0,1,1,0,20190621151601,20190621151601,0,0,"","",0,"","",68920
149955,84826,135576,"00:49:26;06","00:49:39;14",71100,71420,0,1,1,0,20190621151601,20190621151601,0,0,"","",0,"","",71150
