"MUSICID","VIDEOID","STARTTIMECODE","ENDTIMECODE","STARTFRAMEINDEX","ENDFRAMEINDEX","SEQUENCE","ALBUM_PACKAGELANGUAGE","ALBUM_TITLEOFFICIAL","ALBUM_YEAR","ALBUM_GENRELEVEL1","ALBUM_GENRELEVEL2","ALBUM_GENRELEVEL3","ALBUM_ALBUMLABEL","ALBUM_TOTALINSET","ALBUM_DISCINSET","ALBUM_TRACKCOUNT","ALBUM_COVERARTURL","ALBUM_TRACK_TRACKGNID","ALBUM_TRACK_TRACKNUMBER","ALBUM_TRACK_TITLEOFFICIAL","CREATETIME","CREATEUSER","CREATEREQIP","MODIFYTIME","MODIFYUSER","DELETETIME","DELETEUSER","DELETEREQIP","DELFLAG","CHECKSTATUS","CHECKOUTSERVERID","ALBUM_CREDIT_NAMEOFFICIAL","ALBUM_CREDIT_ORIGINLEVEL1","ALBUM_CREDIT_ORIGINLEVEL2","ALBUM_CREDIT_ORIGINLEVEL3","ALBUM_CREDIT_ORIGINLEVEL4","ALBUM_CREDIT_ERALEVEL1","ALBUM_CREDIT_ERALEVEL2","ALBUM_CREDIT_ERALEVEL3","ALBUM_CREDIT_ARTISTTYPELEVEL1","ALBUM_CREDIT_ARTISTTYPELEVEL2","ISDUPLICATION","CHUBFILENAME","CHUBFILEPATH","SCENECHUBFILEPATH","SCENECHUBFILENAME","USELIMIT"
425629,84826,"00:01:45;00","00:03:29;23",2518,5033,15,"영어","Lesley Gore Sings Of Mixed-Up Hearts",1963,"팝/록","서부 록","60년대-올디스","Mercury",1,1,12,"http://akamai-b.cdn.cddbp.net/cds/2.0/cover/0F79/B038/6616/4412_large_front.jpg?cid=285322488","174500425-E48930FB0AAF27A892E6C51C2AE76CBF",7,"You Don't Own Me",20190621154541,1,"",20190621154541,1,0,0,"",0,0,0,"Lesley Gore","북아메리카","미국","뉴저지","뉴저지","1960년대","60년대 초반","60년대 초반","여성","여성",1,"","","","",
425633,84826,"00:02:13;00","00:02:47;23",3188,4027,19,"영어","Pop Masters: You Don't Own Me",2006,"팝/록","서부 록","60년대-올디스","Carinco Ag",1,1,3,"","164239776-A4248848BD4AE166B199A8ED78F42D0A",3,"You Don't Own Me",20190621154541,1,"",20190621154541,1,0,0,"",0,0,0,"Lesley Gore","북아메리카","미국","뉴저지","뉴저지","1960년대","60년대 초반","60년대 초반","여성","여성",1,"","","","",
425644,84826,"00:03:30;00","00:04:39;23",5034,6711,30,"영어","Beggars Banquet",1968,"팝/록","서부 록","사이키델릭 록","Abkco",1,1,10,"http://akamai-b.cdn.cddbp.net/cds/2.0/cover/7057/7C37/3522/AFFD_medium_front.jpg?cid=285322488","7338380-49E78192EFF528D4B947B018AB560374",1,"Sympathy For The Devil",20190621154541,1,"",20190621154541,1,0,0,"",0,0,0,"The Rolling Stones","서유럽","연합 왕국, 영국","영국","런던","1970년대","70년대 초반","70년대 초반","남성","남성 그룹",0,"","","","",
425686,84826,"00:08:24;00","00:08:58;23",12080,12919,72,"영어","Suicide Squad: Original Motion Picture Score",2016,"기타등등","오리지날 영화/TV 음악","오리지날 영화/TV 음악","WaterTower Music",1,1,30,"http://akamai-b.cdn.cddbp.net/cds/2.0/cover/F6A1/469C/16C1/D9BD_large_front.jpg?cid=285322488","647651794-DEA15F30F7A0D3FDDC2585D988DF31A9",3,"I'M Going To Figure This Out",20190621154541,1,"",20190621154541,1,0,0,"",0,0,0,"Steven Price","서유럽","연합 왕국, 영국","영국","영국","2000년대","2000년대","2000년대","남성","남성",0,"","","","",
425732,84826,"00:13:46;00","00:14:34;23",19800,20973,118,"영어","Suicide Squad: Original Motion Picture Score",2016,"기타등등","오리지날 영화/TV 음악","오리지날 영화/TV 음악","WaterTower Music",1,1,30,"http://akamai-b.cdn.cddbp.net/cds/2.0/cover/F6A1/469C/16C1/D9BD_large_front.jpg?cid=285322488","647651795-262EB8675BB7746F81C67E2313F4963D",4,"You Make My Teeth Hurt",20190621154542,1,"",20190621154542,1,0,0,"",0,0,0,"Steven Price","서유럽","연합 왕국, 영국","영국","영국","2000년대","2000년대","2000년대","남성","남성",0,"","","","",
425787,84826,"00:20:11;00","00:22:30;23",29028,32383,173,"영어","Suicide Squad: Original Motion Picture Score",2016,"기타등등","오리지날 영화/TV 음악","오리지날 영화/TV 음악","WaterTower Music",1,1,30,"http://akamai-b.cdn.cddbp.net/cds/2.0/cover/F6A1/469C/16C1/D9BD_large_front.jpg?cid=285322488","647651816-91C579DC7192BC15CD44808733387912",26,"Enchantress In The War Room",20190621154543,1,"",20190621154543,1,0,0,"",0,0,0,"Steven Price","서유럽","연합 왕국, 영국","영국","영국","2000년대","2000년대","2000년대","남성","남성",0,"","","","",
425844,84826,"00:26:50;00","00:27:38;23",38592,39765,230,"영어","Yeezus",2013,"R&B/힙합","R&B/소울","어번 크로스오버","Def Jam",1,1,10,"http://akamai-b.cdn.cddbp.net/cds/2.0/cover/BA60/CF41/FCE7/F430_large_front.jpg?cid=285322488","489745037-2D1091DEEED210FF407A8537D351DB26",2,"Black Skinhead",20190621154543,1,"",20190621154543,1,0,0,"",0,0,0,"Kanye West","북아메리카","미국","일리노이","시카고","2010년대","2010년대","2010년대","남성","남성",0,"","","","",
425893,84826,"00:32:33;00","00:34:52;23",46814,50169,279,"영어","Suicide Squad: Original Motion Picture Score",2016,"기타등등","오리지날 영화/TV 음악","오리지날 영화/TV 음악","WaterTower Music",1,1,30,"http://akamai-b.cdn.cddbp.net/cds/2.0/cover/F6A1/469C/16C1/D9BD_large_front.jpg?cid=285322488","647651797-BFE562C0661E9EA3BA9E2193BB809D37",6,"Brother Our Time Has Come",20190621154544,1,"",20190621154544,1,0,0,"",0,0,0,"Steven Price","서유럽","연합 왕국, 영국","영국","영국","2000년대","2000년대","2000년대","남성","남성",0,"","","","",
425934,84826,"00:37:20;00","00:38:08;23",53692,54865,320,"영어","Paranoid",1970,"팝/록","메탈 및 하드 록","헤비 메탈","Vertigo",1,1,8,"http://akamai-b.cdn.cddbp.net/cds/2.0/cover/5B59/B353/3623/8BA3_large_front.jpg?cid=285322488","7312785-36AD781AE18E8D7E392B520513E8D569",2,"Paranoid",20190621154545,1,"",20190621154545,1,0,0,"",0,0,0,"Black Sabbath","서유럽","연합 왕국, 영국","영국","버밍험","1970년대","1970년대","1970년대","남성","남성 그룹",0,"","","","",
425946,84826,"00:38:44;00","00:40:49;23",55706,58727,332,"영어","Suicide Squad: Original Motion Picture Score",2016,"기타등등","오리지날 영화/TV 음악","오리지날 영화/TV 음악","WaterTower Music",1,1,30,"http://akamai-b.cdn.cddbp.net/cds/2.0/cover/F6A1/469C/16C1/D9BD_large_front.jpg?cid=285322488","647651814-2655289CDE3FE8E5DF098CBC38B27454",24,"Did That Tickle?",20190621154545,1,"",20190621154545,1,0,0,"",0,0,0,"Steven Price","서유럽","연합 왕국, 영국","영국","영국","2000년대","2000년대","2000년대","남성","남성",0,"","","","",
