"FACEID","CHECKSTATUS","CREATEUSER","MODIFYUSER","DELETEUSER","CREATETIME","MODIFYTIME","DELETETIME","TITLEIMAGE","STARTTIMECODE","ENDTIMECODE","STARTFRAMEINDEX","ENDFRAMEINDEX","DELFLAG","VIDEOID","CREATEREQIP","DELETEREQIP","CHECKOUTSERVERID","FRAMEINDEX","SCORE","RECT","ACTORID","SCORESUM"
13557307,,,,,,,,,"","",,,,84826,"","",,123720,"0.940298","379, 195, 147, 190",145515,""
13557308,,,,,,,,,"","",,,,84826,"","",,123730,"0.974896","380, 202, 146, 191",145515,""
13557309,,,,,,,,,"","",,,,84826,"","",,123740,"0.919651","386, 207, 145, 185",145515,""
13557310,,,,,,,,,"","",,,,84826,"","",,123750,"0.943902","387, 209, 143, 183",145515,""
13557311,,,,,,,,,"","",,,,84826,"","",,123760,"0.913567","379, 201, 151, 196",145515,""
13557312,,,,,,,,,"","",,,,84826,"","",,123770,"0.906909","383, 203, 150, 198",145515,""
13557313,,,,,,,,,"","",,,,84826,"","",,123780,"0.883925","386, 204, 152, 196",145515,""
13557314,,,,,,,,,"","",,,,84826,"","",,123790,"0.907397","389, 211, 152, 196",145515,""
13557335,,,,,,,,,"","",,,,84826,"","",,124150,"0.891605","390, 158, 155, 184",145515,""
13557336,,,,,,,,,"","",,,,84826,"","",,124160,"0.912880","395, 194, 164, 199",145515,""
13557337,,,,,,,,,"","",,,,84826,"","",,124170,"0.922295","404, 228, 159, 202",145515,""
13557338,,,,,,,,,"","",,,,84826,"","",,124180,"0.898821","409, 226, 159, 200",145515,""
13557339,,,,,,,,,"","",,,,84826,"","",,124190,"0.893647","400, 217, 161, 203",145515,""
13557340,,,,,,,,,"","",,,,84826,"","",,124200,"0.746889","355, 219, 137, 200",145515,""
13557341,,,,,,,,,"","",,,,84826,"","",,124220,"0.504534","857, 276, 171, 223",140714,""
13557342,,,,,,,,,"","",,,,84826,"","",,124220,"0.703818","366, 180, 200, 281",1937,""
13557343,,,,,,,,,"","",,,,84826,"","",,124230,"0.620894","807, 252, 172, 237",140714,""
13557344,,,,,,,,,"","",,,,84826,"","",,124230,"0.704816","360, 184, 196, 275",1937,""
13557345,,,,,,,,,"","",,,,84826,"","",,124240,"0.599805","788, 259, 170, 230",140714,""
13557346,,,,,,,,,"","",,,,84826,"","",,124240,"0.707597","340, 155, 207, 289",1937,""
13557347,,,,,,,,,"","",,,,84826,"","",,124250,"0.594994","755, 255, 163, 219",140714,""
13557348,,,,,,,,,"","",,,,84826,"","",,124250,"0.752014","363, 165, 195, 261",1937,""
13557349,,,,,,,,,"","",,,,84826,"","",,124260,"0.586096","740, 235, 172, 229",140714,""
13557350,,,,,,,,,"","",,,,84826,"","",,124260,"0.724004","359, 164, 201, 269",1937,""
13557351,,,,,,,,,"","",,,,84826,"","",,124270,"0.577823","762, 244, 173, 227",140714,""
13557352,,,,,,,,,"","",,,,84826,"","",,124270,"0.730831","361, 164, 199, 266",1937,""
13557353,,,,,,,,,"","",,,,84826,"","",,124280,"0.597064","766, 252, 177, 229",140714,""
13557354,,,,,,,,,"","",,,,84826,"","",,124280,"0.728217","361, 168, 197, 266",1937,""
13557355,,,,,,,,,"","",,,,84826,"","",,124290,"0.646512","767, 252, 172, 225",140714,""
13557356,,,,,,,,,"","",,,,84826,"","",,124290,"0.718222","361, 165, 201, 273",1937,""
13557357,,,,,,,,,"","",,,,84826,"","",,124300,"0.962071","396, 206, 179, 247",145515,""
13557358,,,,,,,,,"","",,,,84826,"","",,124310,"0.982432","404, 213, 167, 221",145515,""
13557359,,,,,,,,,"","",,,,84826,"","",,124320,"0.980535","404, 213, 166, 221",145515,""
13557360,,,,,,,,,"","",,,,84826,"","",,124330,"0.978040","400, 219, 169, 219",145515,""
13557361,,,,,,,,,"","",,,,84826,"","",,124340,"0.968751","406, 212, 178, 239",145515,""
13557362,,,,,,,,,"","",,,,84826,"","",,124350,"0.976167","438, 210, 169, 227",145515,""
13557363,,,,,,,,,"","",,,,84826,"","",,124360,"0.915682","447, 194, 168, 228",145515,""
13557364,,,,,,,,,"","",,,,84826,"","",,124370,"0.554856","724, 282, 179, 237",140714,""
13557365,,,,,,,,,"","",,,,84826,"","",,124370,"0.699116","319, 157, 202, 273",1937,""
13557366,,,,,,,,,"","",,,,84826,"","",,124380,"0.556134","739, 287, 188, 242",140714,""
13557367,,,,,,,,,"","",,,,84826,"","",,124380,"0.721089","319, 154, 195, 263",1937,""
13557368,,,,,,,,,"","",,,,84826,"","",,124390,"0.518692","728, 273, 183, 236",140714,""
13557369,,,,,,,,,"","",,,,84826,"","",,124390,"0.708410","320, 154, 196, 263",1937,""
13557370,,,,,,,,,"","",,,,84826,"","",,124400,"0.547272","723, 267, 177, 232",140714,""
13557371,,,,,,,,,"","",,,,84826,"","",,124400,"0.710080","325, 156, 195, 264",1937,""
13557372,,,,,,,,,"","",,,,84826,"","",,124410,"0.522387","721, 253, 192, 252",140714,""
13557373,,,,,,,,,"","",,,,84826,"","",,124410,"0.732738","322, 158, 200, 272",1937,""
13557374,,,,,,,,,"","",,,,84826,"","",,124420,"0.530057","731, 258, 188, 239",140714,""
13557375,,,,,,,,,"","",,,,84826,"","",,124420,"0.705775","325, 156, 202, 271",1937,""
13557376,,,,,,,,,"","",,,,84826,"","",,124430,"0.557783","738, 269, 185, 227",140714,""
13557377,,,,,,,,,"","",,,,84826,"","",,124430,"0.746598","323, 158, 202, 275",1937,""
13557378,,,,,,,,,"","",,,,84826,"","",,124440,"0.569284","743, 272, 184, 225",140714,""
13557379,,,,,,,,,"","",,,,84826,"","",,124440,"0.725889","326, 158, 197, 267",1937,""
13557380,,,,,,,,,"","",,,,84826,"","",,124450,"0.546187","745, 281, 175, 223",140714,""
13557381,,,,,,,,,"","",,,,84826,"","",,124450,"0.725687","327, 161, 197, 265",1937,""
13557382,,,,,,,,,"","",,,,84826,"","",,124460,"0.569512","745, 271, 178, 235",140714,""
13557383,,,,,,,,,"","",,,,84826,"","",,124460,"0.709652","331, 162, 195, 267",1937,""
13557384,,,,,,,,,"","",,,,84826,"","",,124470,"0.620549","778, 280, 181, 234",140714,""
13557385,,,,,,,,,"","",,,,84826,"","",,124470,"0.718294","336, 166, 194, 260",1937,""
13557386,,,,,,,,,"","",,,,84826,"","",,124480,"0.704554","333, 162, 194, 264",1937,""
13557387,,,,,,,,,"","",,,,84826,"","",,124480,"0.642654","716, 232, 188, 249",140714,""
13557388,,,,,,,,,"","",,,,84826,"","",,124490,"0.613191","730, 247, 187, 234",140714,""
13557389,,,,,,,,,"","",,,,84826,"","",,124490,"0.737702","318, 155, 204, 281",1937,""
13557390,,,,,,,,,"","",,,,84826,"","",,124500,"0.551511","744, 254, 174, 229",140714,""
13557391,,,,,,,,,"","",,,,84826,"","",,124500,"0.719397","318, 150, 205, 275",1937,""
13557392,,,,,,,,,"","",,,,84826,"","",,124510,"0.540196","749, 250, 172, 232",140714,""
13557393,,,,,,,,,"","",,,,84826,"","",,124510,"0.721518","322, 151, 204, 275",1937,""
13557394,,,,,,,,,"","",,,,84826,"","",,124520,"0.569484","749, 257, 174, 227",140714,""
13557395,,,,,,,,,"","",,,,84826,"","",,124520,"0.719696","331, 159, 194, 264",1937,""
13557396,,,,,,,,,"","",,,,84826,"","",,124530,"0.544989","745, 253, 177, 229",140714,""
13557397,,,,,,,,,"","",,,,84826,"","",,124530,"0.727018","335, 162, 193, 261",1937,""
13557398,,,,,,,,,"","",,,,84826,"","",,124540,"0.593866","752, 254, 174, 228",140714,""
13557399,,,,,,,,,"","",,,,84826,"","",,124540,"0.727756","334, 161, 194, 262",1937,""
13557400,,,,,,,,,"","",,,,84826,"","",,124550,"0.924029","327, 228, 151, 201",145515,""
13557401,,,,,,,,,"","",,,,84826,"","",,124560,"0.953314","325, 228, 153, 205",145515,""
13557402,,,,,,,,,"","",,,,84826,"","",,124570,"0.939400","334, 219, 161, 215",145515,""
13557403,,,,,,,,,"","",,,,84826,"","",,124580,"0.832585","449, 209, 172, 225",145515,""
13557404,,,,,,,,,"","",,,,84826,"","",,124590,"0.834870","419, 213, 172, 229",145515,""
13557405,,,,,,,,,"","",,,,84826,"","",,124600,"0.932396","384, 242, 161, 212",145515,""
13557406,,,,,,,,,"","",,,,84826,"","",,124610,"0.975818","383, 246, 161, 214",145515,""
13557407,,,,,,,,,"","",,,,84826,"","",,124620,"0.971299","384, 244, 159, 205",145515,""
13557408,,,,,,,,,"","",,,,84826,"","",,124630,"0.980093","385, 240, 160, 211",145515,""
13557409,,,,,,,,,"","",,,,84826,"","",,124640,"0.883067","403, 208, 164, 214",145515,""
13557410,,,,,,,,,"","",,,,84826,"","",,124690,"0.917762","400, 207, 170, 230",145515,""
13557411,,,,,,,,,"","",,,,84826,"","",,124700,"0.906568","407, 217, 154, 208",145515,""
13557412,,,,,,,,,"","",,,,84826,"","",,124710,"0.946999","413, 212, 158, 209",145515,""
13557413,,,,,,,,,"","",,,,84826,"","",,124720,"0.931800","408, 199, 171, 223",145515,""
13557414,,,,,,,,,"","",,,,84826,"","",,124730,"0.897303","416, 193, 173, 219",145515,""
13557415,,,,,,,,,"","",,,,84826,"","",,124940,"0.925228","418, 221, 158, 203",145515,""
13557416,,,,,,,,,"","",,,,84826,"","",,124950,"0.946250","410, 204, 174, 224",145515,""
13557417,,,,,,,,,"","",,,,84826,"","",,124960,"0.957260","416, 216, 161, 208",145515,""
13557418,,,,,,,,,"","",,,,84826,"","",,124970,"0.971816","427, 219, 155, 201",145515,""
13557419,,,,,,,,,"","",,,,84826,"","",,124980,"0.969963","420, 221, 162, 210",145515,""
13557420,,,,,,,,,"","",,,,84826,"","",,124990,"0.960390","431, 220, 155, 200",145515,""
13557421,,,,,,,,,"","",,,,84826,"","",,125000,"0.973563","427, 218, 154, 205",145515,""
13557422,,,,,,,,,"","",,,,84826,"","",,125030,"0.618211","561, 300, 39, 46",1937,""
13557423,,,,,,,,,"","",,,,84826,"","",,125050,"0.729363","557, 301, 41, 49",1937,""
13557424,,,,,,,,,"","",,,,84826,"","",,125060,"0.701006","559, 301, 41, 50",1937,""
13557425,,,,,,,,,"","",,,,84826,"","",,125070,"0.533493","657, 291, 48, 59",140714,""
13557426,,,,,,,,,"","",,,,84826,"","",,125130,"0.604773","404, 191, 229, 275",140714,""
13557427,,,,,,,,,"","",,,,84826,"","",,125140,"0.631654","382, 183, 215, 256",140714,""
13557428,,,,,,,,,"","",,,,84826,"","",,125150,"0.646039","405, 208, 213, 255",140714,""
13557429,,,,,,,,,"","",,,,84826,"","",,125160,"0.932819","677, 184, 201, 248",1937,""
13557430,,,,,,,,,"","",,,,84826,"","",,125180,"0.978020","692, 194, 195, 243",1937,""
13557431,,,,,,,,,"","",,,,84826,"","",,125190,"0.970142","696, 196, 194, 242",1937,""
13557432,,,,,,,,,"","",,,,84826,"","",,125200,"0.963698","696, 195, 193, 240",1937,""
13557433,,,,,,,,,"","",,,,84826,"","",,125220,"0.838350","335, 195, 119, 165",145515,""
13557434,,,,,,,,,"","",,,,84826,"","",,125240,"0.916408","335, 172, 121, 170",145515,""
13557435,,,,,,,,,"","",,,,84826,"","",,125250,"0.909075","335, 168, 127, 178",145515,""
13557436,,,,,,,,,"","",,,,84826,"","",,125260,"0.907776","326, 177, 116, 168",145515,""
13557437,,,,,,,,,"","",,,,84826,"","",,125270,"0.928438","323, 193, 123, 167",145515,""
13557438,,,,,,,,,"","",,,,84826,"","",,125280,"0.883644","535, 136, 255, 329",135576,""
13557439,,,,,,,,,"","",,,,84826,"","",,125290,"0.915020","543, 144, 258, 326",135576,""
13557440,,,,,,,,,"","",,,,84826,"","",,125300,"0.875127","563, 152, 253, 314",135576,""
13553964,,,,,,,,,"","",,,,84826,"","",,40450,"0.793893","626, 177, 195, 239",135576,""
13553965,,,,,,,,,"","",,,,84826,"","",,40460,"0.890865","451, 228, 189, 241",1937,""
13553966,,,,,,,,,"","",,,,84826,"","",,40480,"0.942955","457, 237, 188, 235",1937,""
13553967,,,,,,,,,"","",,,,84826,"","",,40490,"0.935693","462, 239, 185, 237",1937,""
13553968,,,,,,,,,"","",,,,84826,"","",,40500,"0.821387","629, 186, 193, 235",135576,""
13553969,,,,,,,,,"","",,,,84826,"","",,40510,"0.835212","628, 183, 191, 236",135576,""
13553970,,,,,,,,,"","",,,,84826,"","",,40520,"0.871429","626, 181, 193, 239",135576,""
13553971,,,,,,,,,"","",,,,84826,"","",,40530,"0.887880","464, 258, 193, 255",1937,""
13553972,,,,,,,,,"","",,,,84826,"","",,40540,"0.920616","471, 237, 196, 246",1937,""
13553973,,,,,,,,,"","",,,,84826,"","",,40550,"0.927307","475, 215, 195, 248",1937,""
13553974,,,,,,,,,"","",,,,84826,"","",,40560,"0.926765","475, 232, 184, 236",1937,""
13553975,,,,,,,,,"","",,,,84826,"","",,40570,"0.916816","470, 211, 195, 247",1937,""
13553976,,,,,,,,,"","",,,,84826,"","",,40580,"0.753635","647, 201, 191, 226",135576,""
13553977,,,,,,,,,"","",,,,84826,"","",,40590,"0.699984","640, 192, 186, 230",135576,""
13553978,,,,,,,,,"","",,,,84826,"","",,40600,"0.731110","635, 192, 194, 240",135576,""
13553979,,,,,,,,,"","",,,,84826,"","",,40610,"0.751977","631, 187, 191, 234",135576,""
13553980,,,,,,,,,"","",,,,84826,"","",,40620,"0.751405","633, 181, 195, 240",135576,""
13553981,,,,,,,,,"","",,,,84826,"","",,40630,"0.921809","467, 244, 186, 247",1937,""
13553982,,,,,,,,,"","",,,,84826,"","",,40640,"0.912313","469, 255, 165, 202",1937,""
13553983,,,,,,,,,"","",,,,84826,"","",,40650,"0.933282","455, 250, 190, 242",1937,""
13553984,,,,,,,,,"","",,,,84826,"","",,40660,"0.934194","457, 243, 178, 229",1937,""
13553985,,,,,,,,,"","",,,,84826,"","",,40670,"0.936083","459, 247, 184, 230",1937,""
13553986,,,,,,,,,"","",,,,84826,"","",,40680,"0.948482","466, 240, 183, 238",1937,""
13553987,,,,,,,,,"","",,,,84826,"","",,40690,"0.940811","461, 238, 191, 236",1937,""
13553988,,,,,,,,,"","",,,,84826,"","",,40700,"0.939128","466, 231, 192, 234",1937,""
13553989,,,,,,,,,"","",,,,84826,"","",,40710,"0.921042","462, 229, 193, 234",1937,""
13553990,,,,,,,,,"","",,,,84826,"","",,40720,"0.936066","465, 224, 203, 248",1937,""
13553991,,,,,,,,,"","",,,,84826,"","",,40730,"0.926373","468, 224, 188, 243",1937,""
13553992,,,,,,,,,"","",,,,84826,"","",,40740,"0.871201","633, 151, 205, 254",135576,""
