"MUSICID","VIDEOID","STARTTIMECODE","ENDTIMECODE","STARTFRAMEINDEX","ENDFRAMEINDEX","SEQUENCE","ALBUM_PACKAGELANGUAGE","ALBUM_TITLEOFFICIAL","ALBUM_YEAR","ALBUM_GENRELEVEL1","ALBUM_GENRELEVEL2","ALBUM_GENRELEVEL3","ALBUM_ALBUMLABEL","ALBUM_TOTALINSET","ALBUM_DISCINSET","ALBUM_TRACKCOUNT","ALBUM_COVERARTURL","ALBUM_TRACK_TRACKGNID","ALBUM_TRACK_TRACKNUMBER","ALBUM_TRACK_TITLEOFFICIAL","CREATETIME","CREATEUSER","CREATEREQIP","MODIFYTIME","MODIFYUSER","DELETETIME","DELETEUSER","DELETEREQIP","DELFLAG","CHECKSTATUS","CHECKOUTSERVERID","ALBUM_CREDIT_NAMEOFFICIAL","ALBUM_CREDIT_ORIGINLEVEL1","ALBUM_CREDIT_ORIGINLEVEL2","ALBUM_CREDIT_ORIGINLEVEL3","ALBUM_CREDIT_ORIGINLEVEL4","ALBUM_CREDIT_ERALEVEL1","ALBUM_CREDIT_ERALEVEL2","ALBUM_CREDIT_ERALEVEL3","ALBUM_CREDIT_ARTISTTYPELEVEL1","ALBUM_CREDIT_ARTISTTYPELEVEL2","ISDUPLICATION","CHUBFILENAME","CHUBFILEPATH","SCENECHUBFILEPATH","SCENECHUBFILENAME","USELIMIT"
425658,84826,"00:05:08;00","00:05:14;23",7382,7549,44,"","",0,"","","","",0,0,0,"","",0,"",20190621154541,1,"",20190621154541,1,0,0,"",0,0,0,"","","","","","","","","","",,"","","","",
425745,84826,"00:15:17;00","00:15:23;23",21980,22147,131,"영어","Evolutionary [Disc 2]",2014,"R&B/힙합","R&B/소울","훵크","Avenue Records Catalog P&D",2,2,10,"http://akamai-b.cdn.cddbp.net/cds/2.0/cover/8E58/081F/527A/7F15_large_front.jpg?cid=285322488","434338627-536D6D8B824B79867336A6C824C94BAF",2,"Slippin' Into Darkness",20190621154542,1,"",20190621154542,1,0,0,"",0,0,0,"WAR","북아메리카","미국","캘리포니아","로스앤젤레스","1970년대","1970년대","1970년대","남성","남성 그룹",,"","","","",
425765,84826,"00:17:37;00","00:17:43;23",25336,25503,151,"","",0,"","","","",0,0,0,"","",0,"",20190621154542,1,"",20190621154542,1,0,0,"",0,0,0,"","","","","","","","","","",,"","","","",
425795,84826,"00:21:07;00","00:21:13;23",30370,30537,181,"영어","Suicide Squad: Original Motion Picture Score",2016,"기타등등","오리지날 영화/TV 음악","오리지날 영화/TV 음악","WaterTower Music",1,1,30,"http://akamai-b.cdn.cddbp.net/cds/2.0/cover/F6A1/469C/16C1/D9BD_large_front.jpg?cid=285322488","647651816-91C579DC7192BC15CD44808733387912",26,"Enchantress In The War Room",20190621154543,1,"",20190621154543,1,0,0,"",0,0,0,"Steven Price","서유럽","연합 왕국, 영국","영국","영국","2000년대","2000년대","2000년대","남성","남성",,"","","","",
425962,84826,"00:40:36;00","00:40:42;23",58392,58559,348,"","",0,"","","","",0,0,0,"","",0,"",20190621154545,1,"",20190621154545,1,0,0,"",0,0,0,"","","","","","","","","","",,"","","","",
426019,84826,"00:47:15;00","00:47:21;23",67954,68121,405,"","",0,"","","","",0,0,0,"","",0,"",20190621154546,1,"",20190621154546,1,0,0,"",0,0,0,"","","","","","","","","","",,"","","","",
426197,84826,"01:08:01;00","01:08:07;23",97820,97987,583,"영어","Suicide Squad: The Album - Collector's Edition",2016,"기타등등","오리지날 영화/TV 음악","오리지날 영화/TV 음악","Atlantic / Warner",1,1,17,"http://akamai-b.cdn.cddbp.net/cds/2.0/cover/0D69/3378/DB37/AAAB_large_front.jpg?cid=285322488","658796080-A8E29A41F0A27E97DC4A61B614F9A34E",5,"Gangsta (Harley Quinn & Joker Flashback Version)",20190621154548,1,"",20190621154548,1,0,0,"",0,0,0,"Various Artists","","","","","","","","","",,"","","","",
426428,84826,"01:34:58;00","01:35:04;23",136582,136747,814,"","",0,"","","","",0,0,0,"","",0,"",20190621154551,1,"",20190621154551,1,0,0,"",0,0,0,"","","","","","","","","","",,"","","","",
426472,84826,"01:40:06;00","01:40:12;23",143964,144131,858,"","",0,"","","","",0,0,0,"","",0,"",20190621154551,1,"",20190621154551,1,0,0,"",0,0,0,"","","","","","","","","","",,"","","","",
426473,84826,"01:40:13;00","01:40:19;23",144132,144299,859,"영어","Suicide Squad: Original Motion Picture Score",2016,"기타등등","오리지날 영화/TV 음악","오리지날 영화/TV 음악","WaterTower Music",1,1,30,"http://akamai-b.cdn.cddbp.net/cds/2.0/cover/F6A1/469C/16C1/D9BD_large_front.jpg?cid=285322488","647651809-E261CBF3073398E28FDF51C72E46BE31",19,"She's Behind You",20190621154551,1,"",20190621154551,1,0,0,"",0,0,0,"Steven Price","서유럽","연합 왕국, 영국","영국","영국","2000년대","2000년대","2000년대","남성","남성",,"","","","",
